author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction,finishing_type,heating_type,housing_type
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049888/,Красногорск,sale,flat,22,25,3,79.36,20982308,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306414696/,Красногорск,sale,flat,6,9,1,42.2,8670000,, Алексеевская,3,Аникеевка,Опалиха Парк,Не указано,-1,Не указано,Не указано,Не указано
Алексей Грипич,realtor,https://krasnogorsk.cian.ru/sale/flat/307823561/,Красногорск,sale,flat,11,17,1,41.0,5500000,,бульвар Южный,4,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/307229979/,Красногорск,sale,flat,9,25,1,44.42,12478555,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308799549/,Красногорск,sale,flat,3,4,3,73.4,11900000,, Народного Ополчения,36,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Парадайс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308439223/,Красногорск,sale,flat,6,28,1,23.8,5700000,, Липовой Рощи,1к3,Липовая Роща,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049878/,Красногорск,sale,flat,17,25,1,29.98,9993113,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
ID 74221514,realtor,https://krasnogorsk.cian.ru/sale/flat/305886771/,Красногорск,sale,flat,23,25,2,38.7,9800000,,Заводская ,18к3,Павшино,мкрн. Южный (Ул. Заводская корп. 31),Не указано,-1,Не указано,Не указано,Не указано
Самолет Плюс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308695069/,Красногорск,sale,flat,17,34,1,40.0,8500000,,,64.,Липовая Роща,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049884/,Красногорск,sale,flat,19,25,2,59.49,16343747,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Сулейман Махаури,realtor,https://krasnogorsk.cian.ru/sale/flat/294741975/,Красногорск,sale,flat,16,24,2,82.0,9700000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Сергей Борцов,realtor,https://krasnogorsk.cian.ru/sale/flat/297648476/,Красногорск,sale,flat,2,22,1,19.5,6000000,,бульвар Подмосковный,2,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049917/,Красногорск,sale,flat,18,25,1,45.39,14104443,,,к5,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308157390/,Красногорск,sale,flat,5,17,2,53.0,9990000,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,Не указано,-1,Не указано,Не указано,Не указано
do A.S.A.P.,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307486811/,Красногорск,sale,flat,19,25,1,36.0,6450000,,бульвар Космонавтов,11,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049880/,Красногорск,sale,flat,18,25,2,63.48,17253991,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
ID 122083546,homeowner,https://krasnogorsk.cian.ru/sale/flat/307636806/,Красногорск,sale,flat,5,17,2,53.0,9990000,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,Не указано,-1,Не указано,Не указано,Не указано
VIVAVI ESTATE,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307287934/,Красногорск,sale,flat,4,22,1,50.6,8490000,,бульвар Подмосковный,8,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049916/,Красногорск,sale,flat,17,25,3,84.84,24824099,,,к5,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
RND,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/309001869/,Красногорск,sale,flat,8,22,4,84.1,19000000,,бульвар Подмосковный,10,Пенягино,Павшинская пойма мкр. 2,Не указано,-1,Не указано,Не указано,Не указано
Росэлторг,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307785274/,Красногорск,sale,flat,1,8,1,37.4,5832000,, Пришвина,15,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781249/,Красногорск,sale,flat,2,6,1,40.2,12135612,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
